小韻號	廣韻對應小韻號	代表字	全部字	反切
1001	1066	音	音陰霠瘖喑䤃䜾	於吟
1002	1067	森	森蔘參槮棽𥥍	所今
1003	1068	岑	岑涔𩅨梣㞥	鋤金
1004	1069	簪	簪㻸𣚽兂	側岑
1005	1070	嵾	嵾𣟹	楚今
1006	1060	䋻	䋻	乃心
1007	1071	𧡪	𧡪	充針
1008	1099	鹽	鹽𣡶𨶒阽薝𪂈壛餤䦲㶄櫩㿕	余廉
1009	1100	廉	廉鎌𩄡㡘簾薕薟匲𥖝獫籢覝蠊𧸖鬑	力鹽
1010	1101	砭	砭	府廉
1011	1103	籖	籖臉鹼槧憸僉	七廉
1012	1104	詹	詹占瞻蟾	職廉
1013	1102	銛	銛暹枮綅𧃖襳纖嬐𡣳𢘁彡㩥	息廉
1014	1105	棎	棎	視詹
1015	1106	苫	苫痁𡝫	失廉
1016	1107	䪜	䪜㚲幨襜𤎥𤴿妗𢛈𢃔	處詹
1017	1108	髯	髯蚦呥柟𧦦蛅𩑺抩袡冉	汝鹽
1018	1109	黏	黏	女廉
1019	1110	炎	炎	于廉
1020	1111	霑	霑沾	張廉
1021	1112	覘	覘𡝫	丑廉
1022	1113	淹	淹菴崦醃腌	英廉
1023	1114	𢜩	𢜩	丘廉
1024	1115	𪙊	𪙊噞	語廉
1025	1116	尖	尖熸殲𡄑瀸虃𩅼𩃢鋟鑯懺	子廉
1026	1117	潛	潛朁鬵𥮒灊螹	昨鹽
1027	1118	箝	箝𢁮鉗黚拑鳹雂耹	巨淹
1028	1119	厭	厭猒嬮㜝䅧	於鹽
1029	1120	燖	燖䕭㰊𢅮	徐廉
1030	1124	添	添黇蟾	他兼
1031	1125	𩬑	𩬑𦕒䀡敁佔詀𢃣	丁廉
1032	1126	甜	甜恬湉菾萿	徒兼
1033	1127	鬑	鬑濂熑燫	勒兼
1034	1128	謙	謙㰹	苦兼
1035	1129	兼	兼縑鶼𥻧蒹𦋰	古甜
1036	1130	嫌	嫌稴	戶兼
1037	1131	鮎	鮎拈䬯	奴兼
1038	1132	馦	馦䵌欦䌠䁠㾾	許兼
1039	946	蒸	蒸烝𦚦䕄𪱝烝	諸膺
1040	947	承	承丞	署陵
1041	948	澄	澄憕懲澂	直陵
1042	949	陵	陵淩凌䔖㥄鯪綾𩜁掕夌𡕮祾	六應
1043	950	膺	膺應鷹𧕄	於陵
1044	951	憑	憑凭淜	扶冰
1045	967	磳	磳	
1046	952	冰	冰棚掤	筆陵
1047	953	蠅	蠅	余陵
1048	954	繩	繩譝鱦乘澠溗塍憴騬	食陵
1049	955	升	升陞勝昇抍	識承
1050	956	仍	仍艿䚮㭁	如承
1051	957	兢	兢矜	居陵
1052	958	徴	徵癥𣃘𢾷	陟陵
1053	959	繒	繒鄫驓橧竲	疾陵
1054	960	凝	凝氷	魚陵
1055	961	興	興𨞾	虛陵
1056	962	稱	稱偁爯	處陵
1057	963	殑	殑䔷	其矜
1058	964	㱡	㱡	山矜
1059	966	僜	僜	丑升
1060	965	硱	硱	綺兢
1061	969	登	登璒燈簦㲪䔲𢍪	都滕
1062	970	楞	楞輘稜倰棱	慮登
1063	971	僧	僧	蘇曾
1064	972	崩	崩	北騰
1065	973	增	增憎曽矰罾磳熷竲䎖	作滕
1066	974	瞢	瞢夢	武登
1067	975	層	層	昨稜
1068	976	朋	朋堋鵬棚倗	步崩
1069	977	弘	弘苰	胡肱
1070	978	肱	肱鞃	古弘
1071	979	薨	薨𠐿	呼弘
1072	980	能	能	奴登
1073	981	滕	滕騰縢幐螣藤謄膡𪔖鰧𧈜	徒登
1074	982	恆	恒峘	胡登
1075	983	搄	搄縆	古恆
1076	984	鼟	鼟	他登
1077	1133	咸	咸鹹函𩤥椷稴螊諴	胡讒
1078	1134	緘	緘瑊䌠尲椷𪒯黬輱	古咸
1079	1135	㩥	攕櫼縿𩃢檆	所咸
1080	1136	𤟟	𤟟	乙咸
1081	1137	嵒	嵒䫡羬黬䖗諴碞	五咸
1082	1138	㰹	㰹𧍧妗䩂	許咸
1083	1139	詀	詀鵮䩇	竹咸
1084	1140	諵	諵	女咸
1085	1141	讒	讒獑鏨饞毚𪗂儳㔆酁	士咸
1086	1142	𪅎	鵮	苦咸
1087	1150	嵌	嵌	口銜
1088	1143	銜	銜譀甉	戶監
1089	1144	巉	巉嶃劖艬鑱獑涔	鋤銜
1090	1145	巖	巖𡆑	五銜
1091	1146	攙	攙𪖎	楚銜
1092	1147	衫	衫纔彡縿髟芟𩌰𥌈𩃢	所銜
1093	1148	監	監鍳礛㔋𥌈	古銜
1094	1151	嚴	嚴䕾	語𩏩
1095	1152	𩏩	𩏩杴	虛嚴
1096	1153	醃	醃	於嚴
1097	1154	㪁	㪁	丘嚴
1098	1155	凡	凡帆𠆩𦨲𩗋柉	符䒦
1099	1156	䒦	䒦𣢲沘	匹凡
1100	1157	董	董蝀蕫	多動
1101	1158	蠓	蠓鸏䑃	莫孔
1102	1159	孔	孔	康董
1103	1160	㪌	㪌𣚜	先揔
1104	1161	侗	侗桶曈	他孔
1105	1162	揔	揔嵸㢔蓯𩭤熜𢊕𨍈總	作孔
1106	1163	澒	澒汞	胡孔
1107	1164	蓊	蓊滃暡郺勜䈵	阿孔
1108	1165	𨑊	𨑊	奴動
1109	1166	琫	琫菶䋽俸	方孔
1110	1167	曨	曨襱巃籠竉	力董
1111	1169	動	動酮姛眮挏	徒揔
1112	1170	菶	菶唪	蒲蠓
1113	1158	懵	懵	莫孔
1114	1171	腫	腫種踵㣫	之隴
1115	1172	寵	寵埫	丑隴
1116	1173	隴	隴壟浝	力奉
1117	1174	擁	擁𢶜壅	於隴
1118	1175	宂	宂䢇穁氄𪕁𢫨𤘺搑	而隴
1119	1176	重	重鮦𢝆襱	直隴
1120	1177	冢	冢塚	知壠
1121	1178	奉	奉	扶隴
1122	1179	捧	捧	敷隴
1123	1180	勇	勇甬涌踊溶蛹塎俑悀傛	餘隴
1124	1181	恐	恐	墟隴
1125	1182	𡰁	尰	時宂
1126	1183	拱	拱拲䂬鞏蛬珙𢪒㼦㧬𠦘㤨䡗䱋	居悚
1127	1184	悚	悚竦慫聳䋶㩳愯𫢴駷	息拱
1128	1185	洶	洶	許拱
1129	1187	湩	湩	都隴
1130	1186	覂	覂	方奉
1131	1188	𪁪	𪁪䏵	莫湩
1132	1189	𣑦	𣑦	渠隴
1133	1190	𨿿	𨿿	充隴
1134	1191	𢃓	𢃓	且勇
1135	1192	䙕	䙕	子冢
1136	1193	講	講港耩傋	古項
1137	1194	㭋	㭋玤棓蚌	步項
1138	1195	慃	慃	烏項
1139	1197	項	項缿	胡講
1140	1196	𠈵	𠈵𪁪	武項
1141	1200	紙	紙只坁軹枳咫扺𣲵恀𣖌汦芷坁䳅抧	諸氏
1142	1201	是	是氏媞䟗諟徥褆𤜣	丞紙
1143	1202	靡	靡𦗕𡬍𪎓	文彼
1144	1203	彼	彼㗗	補靡
1145	1204	被	被罷	皮彼
1146	1205	毀	毀燬𡢕㩓檓𥵓𠷏	許委
1147	1206	委	委𩨒𠷏蜲	於詭
1148	1207	跪	跪𣄲	去委
1149	1208	詭	詭垝䤥觤攱恑蛫祪㧪庪	居委
1150	1209	髓	髓嶲靃䭉	息委
1151	1210	累	累樏䉂	力委
1152	1211	技	技妓徛錡䗁	渠綺
1153	1212	倚	倚椅旖	於綺
1154	1213	掎	掎剞庋㱦㞆敧	居綺
1155	1214	綺	綺婍碕䞚㥓㾨觭	墟彼
1156	1215	蟻	蟻錡礒齮檥羛䰙	魚倚
1157	1216	蔿	蔿鄬蘤𤺉䦱薳儰寪䧦	爲委
1158	1217	㭰	𭪿	即委
1159	1218	𧄜	𧄜	而髓
1160	1219	此	此佌跐玼泚𠈈𧺼𡘌𩢑	雌氏
1161	1220	豸	豸褫䊓陊傂㸰阤䚦廌	池爾
1162	1221	徙	徙璽	斯氏
1163	1222	酏	酏迆匜袘胣崺柂㥴	移爾
1164	1223	邐	邐峛	力氏
1165	1224	躧	躧灑纚屣矖簁	所綺
1166	1225	𢔌	𢔌鞞箄𪐄𩩙崥俾𦸣𠬈	卑婢
1167	1226	爾	爾邇	兒氏
1168	1227	渳	渳濔芈侎𨷲葞弭	彌婢
1169	1228	婢	婢庳	便俾
1170	1229	侈	侈姼鉹垑哆誃懘㢋㶴袳𧰺	尺爾
1171	1230	弛	㢮豕	式是
1172	1231	紫	紫訿啙𣸆茈呰㧗	茲爾
1173	1232	捶	捶箠沝𦓝䮔	之累
1174	1233	揣	揣	初委
1175	1234	𤡪	𤡪	隨婢
1176	1235	𦧇	𦧇𤜣	食紙
1177	1212	輢	輢	於綺
1178	1237	㱟	㱟披紴	匹靡
1179	1238	諀	諀庀疕䚹	匹婢
1180	1239	䓈	䓈䔺芛䝐𤼒	羊捶
1181	1240	惢	惢	才捶
1182	1241	跬	跬頍	去弭
1183	1242	狔	狔柅旎	女氏
1184	1243	硊	硊頠姽𪀗	魚毀
1185	1244	𧻜	𧻜	求累
1186	1245	褫	褫	勅豸
1187	1246	㨖	㨖𧛢	陟侈
1188	1247	𪖪	𪖪	興倚
1189	1236	㧗	㧗	側氏
1190	1251	旨	𣅀指恉砥	職雉
1191	1252	視	視	承旨
1192	1253	美	美𤛎媄	無鄙
1193	1254	鄙	鄙啚	方美
1194	1255	兕	兕羠薙䒨	徐姊
1195	1256	几	几机麂㞦䢳𤜝㞛䂹	居履
1196	1257	姊	姊秭	將几
1197	1258	匕	匕妣秕比䃾沘疕𩩙	卑履
1198	1259	軌	軌簋晷厬𩒶宄匭氿	居洧
1199	1260	洧	洧鮪痏䵋	榮美
1200	1261	矢	矢笶屎	式視
1201	1263	死	死	息姊
1202	1262	雉	雉滍薙	直几
1203	1264	牝	牝	扶履
1204	1265	履	履	力几
1205	1266	水	水	式軌
1206	1267	壘	壘礧猚鸓藟櫐誄耒讄㶟	力軌
1207	1268	揆	揆楑𢜽嫢湀	葵癸
1208	1269	趡	趡踓	千水
1209	1270	柅	柅	女履
1210	1272	否	否痞圮仳殍㠲䤏	符鄙
1211	1273	㠑	㠑	徂壘
1212	1274	𧯻	嚭𢻹𥝣	匹鄙
1213	1275	蕊	蕊	如藟
1214	1276	唯	唯蓶䲊瀢壝孈㨊踓	以水
1215	1277	歖	歖	於几
1216	1278	濢	濢噿嶉	遵誄
1217	1279	黹	黹𢾫夂	胝几
1218	1280	𡳭	𡳭	絺履
1219	1284	跽	跽	曁几
1220	1282	䁤	䁤	許癸
1221	1283	跽	跽䣀	曁軌
1222	1286	止	止畤洔茝趾址阯䛗底	諸市
1223	1287	市	市恃	時止
1224	1288	徴	徴	陟里
1225	1289	喜	喜	虛里
1226	1291	以	以巳苡佁𢻰	羊止
1227	1292	似	似祀姒巳耜汜鈶	詳里
1228	1290	紀	紀己妀𠮯	居以
1229	1293	史	史使𩰢	疏士
1230	1294	耳	耳洱駬䋙𪕔	而止
1231	1295	里	里裏鯉李㾖理娌俚𨛋	良士
1232	1297	始	始	詩止
1233	1296	枲	枲䈚𦱓葸諰𠪙	胥里
1234	1298	峙	峙痔跱庤偫𤲵	直里
1235	1299	起	起杞屺玘芑邔	墟里
1236	1300	士	士仕柹	鋤里
1237	1301	俟	俟涘戺𥾩	漦史
1238	1302	子	子虸耔梓仔𠂔杍	即里
1239	1303	矣	矣䒨	于紀
1240	1304	擬	擬儗薿孴𥣖	魚紀
1241	1305	齒	齒	昌里
1242	1306	恥	恥祉	勅里
1243a	1307a	㓼	㓼	初紀
1243b	1307b	欼	欼	初紀
1244	1308	滓	滓笫胏	側李
1245	1309	譩	譩醷	於擬
1246	1311	𡱕	尾𠆠浘䬿	無匪
1247	1313	豈	豈䔇	氣狶
1248	1312	扆	扆㥋偯㕈僾	依豈
1249	1314	蟣	蟣幾穖𩴪	居俙
1250	1315	斐	斐朏菲䨽悱	妃尾
1251	1316	匪	匪棐篚餥榧蜚䕁	非尾
1252	1317	韙	韙煒暐偉瑋葦椲韡𢯷	韋鬼
1253	1318	鬼	鬼	居偉
1254	1319	虺	虺𤈦娓𩄁虫	許偉
1255	1320	顗	顗	魚豈
1256	1321	狶	狶俙𪖥	希豈
1257	1322	磈	磈嵔	於鬼
1258	1323	膹	膹䆏	浮鬼
1259	1324	語	語蘌圉敔圄衙齬禦䥏篽	魚舉
1260	1325	呂	呂旅祣膂𥰠穭梠𠐳侣𢈚㭚絽	力舉
1261	1326	佇	佇眝苧紵杼羜㿾坾䇡宁	除呂
1262	1327	與	與歟与予藇	余筥
1263	1328	煮	煮陼渚	諸与
1264	1329	汝	汝肗茹𡫽𪏮	如与
1265	1330	暑	暑鼠黍𧑓癙	舒莒
1266	1331	杵	杵處	昌与
1267	1332	貯	貯𢁼褚㤖詝𤲑柠䘢	丁呂
1268	1333	諝	諝稰醑湑糈	私呂
1269	1335	女	女籹	尼与
1270	1334	褚	楮禇	丑呂
1271	1336	許	許	虛呂
1272	1337	巨	巨拒秬距炬𧇽粔鉅苣駏𦼫𦊐䶙歫𦼫虡	其呂
1273	1338	所	所糈齭盨疋	疏舉
1274	1339	楚	楚礎齼濋𪓐	初舉
1275	1340	阻	阻俎	側呂
1276	1341	齟	齟	鋤呂
1277	1342	咀	咀沮跙𧽭租	慈呂
1278	1343	𢮁	𢮁𩩘	於許
1279	1344	舉	舉莒櫸筥𧺹𥱿柜䢹舁	居許
1280	1345	敘	敘序漵緒抒嶼㵰𨣦鱮𡱣藇	徐呂
1281	1346	去	去麮𥿇	羌舉
1282	1348	墅	墅	署与
1283	1347	紓	紓杼	神与
1284	1349	𤿚	𤿚	七与
1285	1350	苴	苴	子与
1286	1359	祤	祤	況羽
1287	1351	麌	麌俁	虞矩
1288	1352	羽	羽禹雨宇瑀祤鄅頨楀萭䣁䨞	于矩
1289	1353	聚	聚鄹	慈雨
1290	1354	甫	甫脯斧俯府黼簠蜅莆郙𥒰鯆頫	方主
1291	1355	武	武舞嫵侮𦌬憮𢜮廡珷甒潕鵡瞴𦊏橆膴	無主
1292	1356	父	父輔䩉腐釜𩾿鬴秿㕮蚥腐滏	扶雨
1293	1357	撫	撫弣殕拊䋨俌䞤𢻬𩭍	孚武
1294	1358	柱	柱	直主
1295	1359	詡	詡𦀒姁珝栩欨喣䧁昫	況羽
1296	1360	竪	竪裋	殊主
1297	1361	庾	庾瘐窳瘉愈貐楰㼌㥚斞𦳅	以主
1298	1362	主	主麈枓宔	之庾
1299	1363	傴	傴迃	於武
1300	1364	齲	齲	驅主
1301	1365	𪐴	𪐴拄	智主
1302	1366	乳	乳醹	而主
1303	1367	寠	寠貗	其矩
1304	1368	𢿙	數	所矩
1305	1369	矩	矩踽椇枸蒟聥𣕌楀	俱羽
1306	1369	𦐛	𦐛	
1307	1370	取	取	七庾
1308	1371	縷	縷𨻻僂褸簍嶁漊蔞𦳭慺	力主
1309	1372	䋶	䋶	思主
1310	1374	姥	姥莽䥈媽𢜮	莫補
1311	1375	土	土吐稌芏	他古
1312	1376	杜	杜𢾅肚𤬪靯	徒古
1313	1377	魯	魯櫓滷𢲸虜樐䲐艣鐪蓾㭔㢚鹵	郎古
1314	1379	覩	覩暏肚賭堵楮𥀁帾㕆	當古
1315	1380	古	古鼓𡔷瞽股罟蠱估盬鈷𦍩詁牯𥂩夃沽夗	姑戶
1316	1378	蔖	蔖	采古
1317	1381	五	五午旿伍逜	吾古
1318	1382	簿	簿部	裴古
1319	1383	粗	粗麆徂捔	徂古
1320	1384	祖	祖珇組	則古
1321	1385	虎	虎琥戽滸	呼古
1322	1386	塢	塢溩鄔瑦䛩𧽋䡧	烏古
1323	1387	苦	苦𥯶	康杜
1324	1388	怒	怒弩砮努	奴古
1325	1389	戶	户楛扈怙鄠帍祜昈𡻮岵𩿇芐酤𡜡戽滬㕆鳸	胡古
1326	1390	普	普溥浦誧烳	滂古
1327	1391	補	補譜圃	博古
1328	1392	薺	薺𩶆啙	徂礼
1329	1393	禮	禮𥴡䗍𦪶澧醴鱧豊𣀷欐欚蠡	盧啓
1330	1394	體	體醍涕挮緹𣈡	他礼
1331	1395	䫌	䫌	匹米
1332	1396	濟	濟䍤癠𡖉	子礼
1333	1397	邸	邸底詆䏄坻抵牴弤㪆軧堤	都礼
1334	1399	禰	禰嬭䦵苨泥坭𩯨薾檷𩋪	乃礼
1335	1398	弟	弟娣悌遞㼵	徒礼
1336	1400	洗	洗	先礼
1337	1401	泚	泚緀玼	千礼
1338	1402	啓	啓𣕥䋯𩠬卟晵㒅䏿䡔	康礼
1339	1403	傒	傒謑蒵𧨍匸	胡礼
1340	1404	米	米眯䋛洣𡬍蔝	莫礼
1341	1405	陛	陛𭠷髀蜌	傍礼
1342	1406	𠯋	𠯋䚷	一弟
1343	1407	堄	堄掜晲㪒觬䘽	吾體
1344	1408	㪏	㪏	補米
1345	1409	蟹	蟹解澥嶰獬䲒	鞵買
1346	1412	豸	豸	宅買
1347	1413	妳	妳	奴解
1348		抧	抧	側解
1349	1410	買	買嘪蕒㵋鷶	莫解
1350	1411	䒓	䒓𡢖𦝨	口解
1351	1414	罷	罷矲猈䥯	薄解
1352	1416	擺	擺	北買
1353	1415	矮	矮㢊	烏解
1354		𧡋	𧡋	牛買
1355	1417	解	解薢檞嶰	加買
1356	1424	駭	駭駴	諧楷
1357	1425	楷	楷𥏪鍇	苦駭
1358	1426	騃	騃娾	五駭
1359	1427	挨	挨唉	於駭
1360		鍇	鍇	古駭
1361	1419	枴	拐	孤買
1362	1428	賄	賄䏨燘㷄	呼猥
1363	1429	猥	猥腲鍡㛱㱬㞇𥓔	烏賄
1364	1430	磥	碨癗𡾋礧䣂儡鑸灅䣂儽頛𡼊	落猥
1365	1431	鐓	鐓陮𨬍	徒猥
1366	1433	浼	浼𣫭燘䜸	武罪
1367	1432	罪	罪㠑	徂賄
1368	1434	骽	骽㾽聉脮僓㞂㟎	吐猥
1369	1435	瘣	瘣溾㱬𥴯䕇輠	胡罪
1370	1436	䫥	䫥顝傀	口猥
1371	1437	𦞙	𦞙䇏	都罪
1372	1438	餒	餒娞𩗔鮾浽㼏	奴罪
1373	1440	頠	頠顡隗峞䫥	五罪
1374	1441	皠	皠漼璀𥼺𣿒	七罪
1375	1442	琲	琲痱	蒲罪
1376	1444	倄	倄	袁罪
1377	1443	嶊	嶊肫	子罪
1378	1445	海	海醢	呼改
1379	1446	愷	愷颽塏䐩輆凱	苦亥
1380	1447	宰	宰䏁載	作亥
1381	1448	駘	駘殆待迨怠紿㘆䈚𨊺	徒亥
1382	1449	乃	乃疓𨎭	奴亥
1383	1450	改	改頦	古亥
1384	1451	亥	亥頦賅忋	胡改
1385	1452	啡	啡	匹愷
1386	1453	採	採采綵彩寀㥒	倉宰
1387	1454	茝	茝	昌殆
1388	1455	等	等	多改
1389	1456	䆀	䆀挴	莫亥
1390	1457	在	在	昨宰
1391	1458	俖	俖	普乃
1392	1459	欸	欸毐挨㕈	於改
1393	1465	倍	倍蓓	薄亥
1394	1466	軫	軫縝胗畛賑鬒槙稹紾㐱袗䂦眕𦕑診	之忍
1395	1488	蠢	蠢䐏惷偆踳僢萶𢧔𢾎	尺尹
1396	1484	准	准埻純	之尹
1397	1485	尹	尹允狁馻玧䪳𡴞	余准
1398	1486	筍	筍隼簨𣕍	思尹
1399	1481	愍	愍憫閔敏簢暋𤛎𦌡𨏵潣	眉殞
1400	1476	牝	牝臏髕猵	毗忍
1401	1483	殞	殞隕荺霣	于閔
1402	1479	窘	窘㻒菌箘㖥䐃蜠	渠殞
1403	1472	紖	紖䏖	直引
1404	1467	辴	辴	勅忍
1405	1480	引	引蚓𠻤𢯼廴戭縯演	余畛
1406	1469	忍	忍荵涊	而軫
1407	1470	矧	矧哂頣	式忍
1408	1473	緊	緊胗	居忍
1409	1474	盡	盡	詞引
1410	1482	泯	泯𤿕僶笢黽	武盡
1411	1468	腎	腎蜃脤㰮	時忍
1412	1477	釿	釿𪙤磭	宜引
1413	1489	盾	盾楯	食尹
1414	1478	笉	笉	千忍
1415	1471	僯	僯𩕔橉嶙	力軫
1416	1475	㯸	㯸	子忍
1417	1491	耣	耣	力尹
1418	1492	㲝	㲝	而尹
1419	1493	縻	縻	丘隕
1420	1494	螼	螼𧼒	丘引
1421	1495	賰	賰	式尹
1422		輑	輑	牛隕
1423	1499	吻	吻抆刎伆勽	武粉
1424	1500	粉	粉黺	方吻
1425	1501	憤	憤㿎鼢坋扮膹羵𢤬獖	房吻
1426	1502	忿	忿魵	敷粉
1427	1503	惲	惲藴韞䡝醖榅賱	於粉
1428	1504	齳	齳𧼐夽	魚吻
1429	1505	抎	抎䫟𤸫	于粉
1430	1507	隱	隱磤𤻘𨏈䌥㶏𢚩𠃊㥯㐆	於謹
1431	1508	謹	謹𪏴㹏堇槿𢀿𧯷㨷𡎸慬	居隱
1432	1510	赾	赾	丘謹
1433	1513	听	听	牛謹
1434	1512	齓	齓	初謹
1435	1511	近	近	其謹
1436		脪	脪炘	興近
1437	1515	阮	阮𡯱邧	虞遠
1438	1516	遠	遠𩔃	雲晩
1439	1517	偃	偃㫃䞁鶠郾鼴鰋褗蝘	於幰
1440	1518	湕	湕揵㔓𥍹	居偃
1441	1519	寋	寋楗	其偃
1442	1520	𧥛	𧥜	去偃
1443	1521	𧥜	𧥛屵巘𪗙	語偃
1444	1522	幰	幰攇䘆	虛偃
1445	1523	晚	晚娩挽睌㿸鞔	無遠
1446	1524	反	反返坂橎䡊	府遠
1447	1525	𧯦	𧯦圈	求晩
1448	1526	婉	婉菀苑踠蜿畹琬倇䛄宛裷	於阮
1449	1527	䅚	䅚綣𢑆䊎	去阮
1450	1528	暅	暅䁔咺愃烜	況晚
1451	1529	軬	軬飯	扶遠
1452	1530	混	混渾鯶緷焜倱掍睴睔混㮯䧰𨡫	胡本
1453	1532	忖	忖刌	倉本
1454	1533	本	本𤲛苯笨	布忖
1455	1534	損	損㾕䐣𦠆	蘇本
1456	1535	𠟃	𠟃噂䔿僔撙	兹損
1457	1536	穩	穩	烏本
1458	1537	囤	囤盾沌伅㡒𥫱庉	徒損
1459	1538	鱒	鱒喗	徂本
1460	1539	𩩌	𩩌㯻衮緄惃錕輥䃂	古本
1461	1540	畽	畽𪐠	他本
1462	1542	㤻	㤻惀	盧本
1463	1541	閫	閫壼稇悃𩑔梱𨁉硱	苦本
1464	1543	獖	獖笨体𪊜㮥𥢊	盆本
1465	1544	懣	懣	莫本
1466	1547	佷	很	痕墾
1467	1548	墾	墾懇齦	康佷
1468	1549	䫀	䫀	古佷
1469	1550	旱	旱𡷛䁔皔	何滿
1470	1561	緩	緩澣𧡩䈠㬊𦀸𧶲	胡管
1471	1562	短	短斷𢷖	都管
1472	1565	算	算篡	蘇管
1473	1568	款	款窽棵䘾	苦管
1474	1569	餪	餪暖渜	乃管
1475	1570	纂	纂纘儧酇䂎	作管
1476	1563	椀	椀䝹	烏管
1477	1573	粄	粄瓪暵	博管
1478	1566	管	管𦜐輨盥琯痯䩪	古纂
1479	1575	斷	斷𩏇	徒管
1480	1564	疃	疃䠪	他管
1481	1571	伴	伴㚘拌	薄旱
1482	1567	卵	卵	落管
1483	1572	滿	滿懣𥲈	莫旱
1484	1554	但	但蜑袒誕潬䩥膻僤	徒旱
1485	1552	坦	坦䦔	他但
1486	1551	亶	亶担笪𤺺觛狚	多旱
1487	1557	嬾	嬾𥽭	落旱
1488	1556	笴	笴皯稈衦𦼮	各旱
1489	1553	散	散饊䉈繖傘鏾	蘇旱
1490	1555	瓉	瓚趲	昨旱
1491	1559	罕	罕蔊𪄿厂	呼稈
1492	1558	侃	偘侃	空旱
1493	1576	攤	攤	奴但
1494	1578	潸	潸	數板
1495	1579	綰	綰	烏板
1496	1580	板	板版瓪鈑蝂	布綰
1497	1581	䩆	䩆	側板
1498	1582	赧	𧹞𩈫㫱戁	奴板
1499	1583	僩	僩橌	胡板
1500	1584	睆	睆鯇䴷	戶板
1501	1585	阪	阪	扶板
1502	1586	矕	矕𦺖	武板
1503	1587	𪘪	𪘪	士板
1504	1589	㹽	㹽	初板
1505	1588	𪗙	𪗙	五板
1506	1584	莞	莧睅	胡板
1507	1590	眅	眅	普板
1508	1592	產	産嵼汕滻摌	所簡
1509	1593	限	限硍䁂㹂	胡簡
1510	1594	𥇅	𥇅	武限
1511	1595	簡	𥳑柬暕揀𤄒𧟉	古限
1512	1596	剗	剗鏟丳	初限
1513	1597	棧	棧㟞轏孱虥	士限
1514	1598	眼	眼	五限
1515	1599	醆	醆㦃𥽽	側限
1516	1601	艮	艮	口限
1517	1602	銑	銑跣毨姺洗䈰䉳	蘇典
1518	1603	腆	腆淟𤲖錪琠靦圢𨆁㥏蚕	他典
1519	1604	典	典蕇𩒝	多繭
1520	1605	蝘	蝘𡩷嬿䁙	於殄
1521	1606	殄	殄蜓	徒典
1522	1607	繭	繭𥀹𢆞垷筧𢺃趼藆襺	古典
1523	1608	峴	峴臔哯俔睍㦓詪䵤顈垷	胡繭
1524	1609	顯	顯𩎌蜆抮	呼典
1525	1611	撚	撚涊蹨	奴典
1526	1610	㨠	㨠芇	亡典
1527	1612	編	編匾緶萹扁	方繭
1528	1613	泫	泫贙鉉玹鞙𥌭䧎䀏㻆	胡犬
1529	1615	辮	辮艑扁㲢	薄典
1530	1614	畎	畎詃罥埍	古泫
1531	1616	犬	犬	苦泫
1532	1617	𥧬	𥧬豤䵖蜸	口典
1533	1619	獮	獮尠廯癬尟燹	息淺
1534	1620	演	演縯衍	以淺
1535	1621	踐	踐諓餞𧗸𤷃俴	疾演
1536	1623	𦗢	𦗢𠟉樿饘皽䆄䡀嫸𩕊𥊳㔊橏䎒醆	旨善
1537	1622	展	展搌皽輾㠭	知演
1538	1624	趁	趁𨋚㞋蹍跈	尼展
1539	1625	淺	淺	七演
1540	1626	闡	闡燀䵐𨼒幝𦆀	昌善
1541	1627	遣	遣繾䭤𥳐𠳋㹂䭤	去演
1542	1629	善	善墠鱓蟮單僐	常演
1543	1628	蹇	蹇謇搴𦂇	居輦
1544	1630	剪	剪𢶕戩媊鬋揃錢翦𣸛	即踐
1545	1631	蹨	蹨橪戁熯㒄	人善
1546	1633	輦	輦璉鄻僆摙𤑿	力演
1547	1635	件	件鑳鍵	其輦
1548	1632	𦅗	𦅗	徐輦
1549	1634	齴	𪙞巘	魚蹇
1550	1636	辯	辯辨諞	符蹇
1551	1637	緬	緬沔愐勔湎黽	無兗
1552	1638	褊	褊	方緬
1553	1639	臇	臇𧕣	姊兗
1554	1640	雋	雋吮𦼱𤺻	徂兗
1555	1641	辡	辡䁵覵	方免
1556	1642	兗	兖沇㕣萒馻	以轉
1557	1643	臠	臠孌𡡗	力兗
1558	1644	轉	轉	陟兗
1559	1645	卷	卷菤	居轉
1560	1646	圈	圈蔨	渠篆
1561	1487	輭	輭蝡㮕䓴碝愞媆㞋	而兗
1562	1648	舛	舛喘荈腨㪜	昌兗
1563	1649	膞	膞腨鄟踹歂𡭐	視兗
1564	1650	篆	篆瑑沌堟䧘𦁆	持兗
1565	1651	剸	剸孨𦝏𦓝𨶉鱄	旨兗
1566	1652	選	選	思兗
1567	1653	撰	撰僎鱄	士免
1568	1654	蜎	蜎	狂兗
1569	1655	蠉	蠉𧾣	香兗
1570	1656	楩	楩㦚揙𣝜艑	符善
1571	1657	免	免娩勉俛冕鮸㝃	亡辯
1572		𢵈	𢵈	基善
1573	1658	𨩪	𨩪㫃蕆䩶𧈪㢟	丑善
1574	1661	㫃	㫃𧽪	於蹇
1575	1660	㒄	㒄㜣	式善
1576	1664	篠	篠𩵌謏䃤	蘇鳥
1577	1665	晈	晈璬𢅎皎鐃㿟皦恔䰘譑曒䘨	古了
1578	1666	鳥	鳥𢁕㣿𠄏蔦𧜣䄪	都了
